sku,price_per_box,supervisor_target_boxes,brand_name_thai,brand_name_english,product_name_thai
311308,634.94,41,โคโดโม,Kodomo,โคโดโมยาสีฟันเจลบับเบิ้ลฟรุ๊ต(1000ppm)40ก.
317081,634.94,359,โคโดโม,Kodomo,โคโดโมยาสีฟันครีมส้ม(1000ppm)40ก.
305029,836.8,5,โคโดโม,Kodomo,โคโดโม ยาสีฟันออร์แกนิค เจนเทิล สตรอเบอร์รี่ 40 ก
317073,633.45,211,โคโดโม,Kodomo,โคโดโมยาสีฟันครีมสตรอเบอร์รี่(1000ppm)40ก.
305003,834.3,6,โคโดโม,Kodomo,โคโดโมยาสีฟันซุปเปอร์การ์ดสตรอเบอร์รี่ดาบพิฆาต65ก.
305011,866.98,6,โคโดโม,Kodomo,โคโดโมยาสีฟันซุปเปอร์การ์ดฟรุ๊ตตี้ดาบพิฆาต 65ก.
317099,815.94,75,โคโดโม,Kodomo,โคโดโมยาสีฟันครีมสตรอเบอร์รี่65ก.
317107,818.96,83,โคโดโม,Kodomo,โคโดโมยาสีฟันครีมส้ม65ก.
317123,820.08,59,โคโดโม,Kodomo,โคโดโมยาสีฟันครีมองุ่น65ก.
333401,211.99,371,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มฮานาบูเกต์450มล.แพ็ก3
333427,245.92,295,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มฮานาโรเซ่450มล.แพ็ก3
333443,234.06,68,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มฮานาไชน์เน่450มล.แพ็ก3
293860,364.65,22,ไลปอนเอฟ,Lipon-F,ไลปอนกลิ่นชามะนาว300มล.ชนิดเติม แพ็ก3ถุง
292151,457.29,17,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟเอ็กซ์ตร้าไฮจีนิคขนาด300มล.ชนิดเติม(แพ็ก3)
314336,1544.83,24,แซค,Zact,แซคท์ยาสีฟันแดงใหม่160ก.
314351,1545.3,8,แซค,Zact,แซคท์ยาสีฟันเขียวใหม่160ก.
314328,979.2,11,แซค,Zact,แซคท์ยาสีฟันแดงใหม่90ก.
213587,488.74,24,เปา,Pao bun jin,เปาซุปเปอร์ซอฟท์ 250 ก.
213561,488.74,20,เปา,Pao bun jin,เปาซุปเปอร์ไวท์ 250 ก.
213579,488.74,15,เปา,Pao bun jin,เปาซุปเปอร์คัลเลอร์ 250 ก.
208231,301.26,97,108shop,108shop,108Shop (สีชมพู) 300ก.
351346,264.34,87,โปร,Pro,โปรล้างจานพลังเข้มข้นสูตรมะนาวถุงเติม400มล.
351387,264.34,98,โปร,Pro,โปรล้างจานสูตรทรอปิคอลถุงเติม400มล.เดี่ยว
351395,264.35,90,โปร,Pro,โปรล้างจานสูตรทรอปิคอลถุงเติม400มล.P3
351361,258.97,175,โปร,Pro,โปรล้างจานสูตรเบอร์รี่ถุงเติม400มล.P3
351379,264.34,84,โปร,Pro,โปรล้างจานสูตรเบอร์รี่ถุงเติม400มล.เดี่ยว
111294,892.49,20,ฟลอเร่,Flore,ฟลอเร่สบู่ขมิ้น80ก.
111302,892.49,33,ฟลอเร่,Flore,ฟลอเร่สบู่ว่านหางจระเข้80ก.
111310,892.49,30,ฟลอเร่,Flore,ฟลอเร่สบู่น้ำมันมะกอก80ก.
111336,892.33,9,ฟลอเร่,Flore,ฟลอเร่สบู่แก่นจันทน์80ก.
208363,301.25,879,108shop,108shop,108shop (สีฟ้า) 300ก.
333385,254.54,432,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มฮานาพิ้งค์เก้450มล.แพ็ก3
339077,254.99,21,โปร,Pro,โปรปรับผ้านุ่ม เนเชอรัล เฟรช 450มล
333377,255.0,695,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มฮานาพิ้งค์เก้450มล.
333393,255.0,794,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มฮานาบูเกต์450มล.
333419,255.0,666,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มฮานาโรเซ่450มล.
333435,255.0,89,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มฮานาไชน์เน่450มล.
339069,255.0,23,โปร,Pro,โปรปรับผ้านุ่ม การ์เด้น สวีท 450มล.
339085,255.0,20,โปร,Pro,โปรปรับผ้านุ่ม ฟอเรสต์ อโรม่า 450มล.
139261,484.49,7,โชกุบุซึ,Chogubuze,โชกุบุสซึครีมอาบน้ำผิวใสชิ้งค์100มล.
139246,484.1,38,โชกุบุซึ,Chogubuze,โชกุบุสซึครีมอาบน้ำผิวนุ่มชิ้งค์100มล.
323295,1942.19,5,ซอลล์,Salt,ซอลส์แปรงสีฟันกัมเอ็กซ์เปิร์ตP3
323352,2016.19,5,ซอลล์,Salt,ซอลส์แปรงสีฟันแบมบูP3
323436,1441.6,116,ซอลล์,Salt,ซอลส์แปรงสีฟัน XL แอดวานซ์กัมแคร์ แพค3
323212,1410.99,6,ซอลล์,Salt,ซอลส์แปรงสีฟันP3
323279,1411.0,18,ซอลล์,Salt,ซอลส์แปรงสีฟันP3+1
300376,1815.6,29,ซอลล์,Salt,ซอลส์ยาสีฟันเฟรชแจเปนนิสมินต์140ก.แพคคู่
300327,1815.6,24,ซอลล์,Salt,ซอลส์ยาสีฟันออริจินัล140ก.แพคคู่
300434,1815.6,5,ซอลล์,Salt,ซอลส์ยาสีฟันเฮอร์เบิลแบมบูรีลีฟ140ก.Pคู่
300483,1815.6,5,ซอลล์,Salt,ซอลส์ยาสีฟันเฮอร์เบิลพิงค์ซอลท์140ก.แพคคู่
300335,1815.6,17,ซอลล์,Salt,ซอลส์ยาสีฟันออริจินัล140ก.แพคคู่+1หลอด
300277,1309.73,5,ซอลล์,Salt,ซอลส์ยาสีฟันคิงเฮิร์บ80ก.
300624,2069.02,59,ซอลล์,Salt,ซอลส์ ออริจินัล 140กรัม แพ็ค3ชิ้น
300632,2266.1,72,ซอลล์,Salt,ซอลส์ เฟรช 140กรัม แพ็ค3ชิ้น
300640,2266.09,24,ซอลล์,Salt,ซอลส์ เฮอร์เบิล พิงค์ ซอลท์ 140กรัม แพ็ค3ชิ้น
300707,2174.83,5,ซอลล์,Salt,ซอลส์ยาสีฟันโปรไวท์ อโรมาติก ที 80กรัม
300715,2206.36,5,ซอลล์,Salt,ซอลส์ยาสีฟันโปรไวท์ กลาเซียร์ มินต์ 80กรัม
318600,2337.49,103,ซอลล์,Salt,ซอลส์ยาสีฟันอินเท็นซีฟกัมแคร์160ก.แพคคู่
318576,2180.25,5,ซอลล์,Salt,ซอลส์ยาสีฟันแลคเตดเสียวฟัน160ก.
333328,255.0,22,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มซีเคร็ตโรแมนซ์500มล.แพ็ก3
333344,255.0,15,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มเรดแพชชั่น500มล.แพ็ก3
333369,255.0,14,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มเนเจอร์เฮฟเว่น500มล.แพ็ก3
333302,255.0,19,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มสวีทบลอสซั่ม500มล.แพ็ก3
333310,255.0,11,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มซีเคร็ตโรแมนซ์500มล.
333336,255.0,5,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มเรดแพชชั่น500มล.
333294,254.88,5,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มสวีทบลอสซั่ม500มล.
333351,254.99,7,ไฮคลาส,Hiclass,ไฮคลาสปรับผ้านุ่มเนเจอร์เฮฟเว่น500มล.
290841,523.57,5,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟเจแปนนีสพีช500มล.
291005,523.6,5,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟเจแปนนิสพีชชนิดถุงเติม500มล.P3
293472,352.74,5,ไลปอนเอฟ,Lipon-F,ไลปอนกลิ่นชามะนาวถุงเติม500มล.P3
291658,523.6,34,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟ สูตรอนามัย 500มล. ชนิดถุงเติม
291666,521.04,120,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟ สูตรอนามัย 500มล. ชนิดถุงเติม(แพ็ก3)
291674,523.59,7,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟเจแปนนีส พีช 450มล. ชนิดถุงเติม
291682,523.6,5,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟเจแปนนีส พีช 450มล. ชนิดถุงเติม(แพ็ก3)
291690,523.6,5,ไลปอนเอฟ,Lipon-F,ไลปอนเอฟเจแปนนีส ยูซุ 450มล. ชนิดถุงเติม
293951,352.74,138,ไลปอนเอฟ,Lipon-F,ไลปอนกลิ่นชามะนาว 450มล. ชนิดถุงเติม (แถบคาด)
293969,352.75,135,ไลปอนเอฟ,Lipon-F,ไลปอนกลิ่นชามะนาว 450มล. ถุงเติม แพ็ก3 (แถบคาด)
